ticker,company_name,sector,industry,fin_currency,country,market_cap,acquirer_multiple,earning_yield_p,pe_ttm,ev,ev_calc,gross_margin_p,net_margin_p,roe_p,roa_p,roc_p,pb,operating_income,ebit,net_income,total_assets,cash,total_liabilities,shareholders_equity,preferred_stock_equity,minority_interest,total_capitalization,total_debt,working_capital
AAMC,Altisource Asset Management Cor,Financial Services,Mortgage Finance,USD,United States,10558976,,,,157472992,21143976.0,-0.63481,0.0,-0.53993,-0.18194,,,,,-24391000.0,50001000.0,0.0,162212000.0,-112211000.0,0.0,0.0,,10585000.0,
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,USD,United States,51005752,30.309996183206106,0.10969663473580064,17.857143,66907720,63529752.0,0.11919,0.01675,0.03156,0.01207,0.035747994336951396,0.5168493,2096000.0,6969000.0,3103000.0,361620000.0,24288000.0,262874000.0,98746000.0,55000.0,0.0,132484000.0,36757000.0,98746000.0
AAN,"Aarons Holdings Company, Inc.",Industrials,Rental & Leasing Services,USD,United States,343327680,7.364019994189468,0.015832460900771228,37.73333,988538560,988538680.0,0.51628,0.00424,0.01328,0.04151,0.01536553901615782,0.49000087,134239000.0,15651000.0,9324000.0,1789923000.0,39313000.0,1089245000.0,700678000.0,0.0,0.0,888135000.0,684524000.0,484327000.0
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,USD,United States,763322304,,,,825827072,859019304.0,0.19903,-0.2854,-0.33134,-0.087519996,,3.8712776,-54349000.0,-54242000.0,-62440000.0,373792000.0,31241000.0,195439000.0,178353000.0,0.0,0.0,178353000.0,126938000.0,-23850000.0
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USD,United States,5886192640,28.435227479245462,0.03524912529526969,35.34146,5923331072,5976942640.0,0.32766,0.15179,0.28097,0.15824,0.25583603722629156,8.622946,210195000.0,210682000.0,169472000.0,944543000.0,212000.0,262059000.0,682484000.0,0.0,0.0,760904000.0,90962000.0,284813000.0
AAP,Advance Auto Parts Inc.,Consumer Cyclical,Specialty Retail,USD,United States,3660562944,23.470689647011415,0.04412077948260023,17.88372,7793014784,7338650944.0,0.41669998,0.01818,0.076570004,0.02004,0.14523921024017913,1.3733677,312673000.0,323787000.0,186077000.0,12239587000.0,317528000.0,9599431000.0,2640156000.0,0.0,0.0,4425873000.0,3995616000.0,1177813000.0
AAPL,Apple Inc.,Technology,Consumer Electronics,USD,United States,2817856110592,25.086299425131887,0.039862395925888645,29.604574,2880222527488,2867389110592.0,0.44131002,0.25305998,1.7195,0.20256001,1.892275346003576,45.328995,114301000000.0,114301000000.0,96995000000.0,352583000000.0,61555000000.0,290437000000.0,62146000000.0,0.0,0.0,157427000000.0,111088000000.0,-1742000000.0
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USD,United States,1751923328,27.719496968681963,0.038241984307172405,27.780489,2952878080,3310262328.0,0.64377,0.115059994,0.05376,0.0248,0.09617622925910169,1.1439189,119420000.0,126591000.0,63604000.0,3010719000.0,89968000.0,1842069000.0,1209296000.0,0.0,-40646000.0,2898249000.0,1688953000.0,106944000.0
AAU,"Almaden Minerals, Ltd.",Basic Materials,Gold,CAD,Canada,18703220,,,,18757762,18743990.07426896,0.0,0.0,-0.15916,-0.03351,,0.27314627,-2316501.08426352,-7361091.38509596,-8789876.55759312,57331798.98883164,3495604.34755476,6099229.74991848,51232569.23891316,0.0,0.0,54469094.59568448,3536374.42182372,5616511.0
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,USD,United States,3476886784,11.380822457316434,0.08786711186739637,14.072398,,3476886784.0,0.0,0.0,0.14046,-0.0070499997,0.07744104671547797,1.7626389,305504000.0,,248766000.0,1973046000.0,0.0,552000.0,1972494000.0,0.0,0.0,,0.0,1972494000.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USD,United States,286264655872,21.119765606024174,0.04736099515287977,44.421917,334191230976,333755655872.0,0.69921,0.118140005,0.46321,0.086540006,-0.19722017741955608,23.670073,15803000000.0,15807000000.0,6514000000.0,136221000000.0,13290000000.0,124092000000.0,12094000000.0,0.0,35000000.0,67725000000.0,60746000000.0,-1549000000.0
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,USD,United States,3491964416,10.130694498761857,0.09870991570441859,12.274272,3274319104,4590197416.0,0.0,0.30508,0.08826999,0.01153,0.08111144109584528,1.041242,453098000.0,,285392000.0,25697830000.0,241137000.0,22350761000.0,3347069000.0,0.0,0.0,4686439000.0,1339370000.0,3347069000.0
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,USD,Canada,1694592768,,,,989511232,989509768.0,-2.11236,-2.5627801,-0.10616,-0.08179,,1.4306713,-196478000.0,-180399000.0,-129141000.0,1512190000.0,785840000.0,329415000.0,1182775000.0,0.0,0.0,1182775000.0,80757000.0,809279000.0
ABCM,Abcam plc,Healthcare,Biotechnology,GBP,United Kingdom,5521322496,,,2399.0,5636508160,5696858026.8,0.75876,0.00658,0.0034599998,0.04362,,7.6449966,-12847165.66,-12974365.32,-10811971.1,1306467707.8600001,100487731.4,391647753.14,914819954.72,0.0,0.0,914819954.72,276023262.2,66900000.0
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USD,United States,140216880,,,,92154976,92154880.0,0.0,0.0,-2.38808,-0.56006,,6.345291,-46977000.0,-37135000.0,-38723000.0,66087000.0,53754000.0,44049000.0,22038000.0,0.0,0.0,22038000.0,5692000.0,48852000.0
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,BRL,Brazil,43757199360,11.167556128734386,0.07984994530258256,14.631579,31149778944,41169707431.242,0.50297,0.18293,0.16946,0.083500005,0.27123117341103187,0.48491192,3686545825.842,3287398886.5080004,2928451731.414,28286332059.348,3618206192.6340003,9507043871.82,18511364829.606,0.0,267923357.92200002,19020425362.686,762790905.954,3706900000.0
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USD,United States,4229478656,6.810073043478261,0.1748833723979991,4.9160485,7729773056,7706278656.0,0.19192,0.06125,0.3056,0.088,0.3127712409199564,1.3019326,1131600000.0,1347700000.0,900200000.0,8255000000.0,41600000.0,5006400000.0,3248500000.0,0.0,0.0,3248500000.0,3518400000.0,1060400000.0
ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USD,United States,23488462,,,,-14697467,-14774538.0,0.0,0.0,-0.13442999,-0.09418,,0.61859584,-7254000.0,-7254000.0,-5424000.0,39184000.0,38487000.0,1216000.0,37968000.0,0.0,0.0,37968000.0,224000.0,37900000.0
ABL,"Abacus Life, Inc.",Financial Services,Insurance - Life,USD,United States,660104896,,,,742738048,742732580.0,0.87452006,0.44961,0.27104,0.10754,,3.9816582,-19408487.0,-18488705.0,-21631737.0,304301937.0,36649190.0,138212190.0,194297916.0,0.0,289248.0,284614326.0,118987626.0,34061082.0
ABLV,Able View Global Inc.,Communication Services,Advertising Agencies,USD,China,43369744,4.865792267448876,0.20232513459212137,13.777778,2720000,49353186.0,0.22399999,0.05441,1.08533,0.13904001,0.2270585871499819,1.0350585,10142888.0,9985390.0,7903611.0,58791943.0,6149339.0,50804371.0,7987572.0,0.0,0.0,7987572.0,12132781.0,35989580.0
ABLVW,Able View Global Inc. Warrant,Communication Services,Advertising Agencies,USD,Hong Kong,0,0.5899150222303549,1.6688371007858018,,,5983442.0,0.22399999,0.05441,1.08533,0.13904001,0.2270585871499819,0.013522538,10142888.0,9985390.0,7903611.0,58791943.0,6149339.0,50804371.0,7987572.0,0.0,0.0,7987572.0,12132781.0,35989580.0
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USD,United States,2668453632,9.871894557889595,0.10231213974893505,11.200528,4055754496,4041553632.0,0.13949001,0.031040002,0.1429,0.04334,-0.8245264207377866,1.4822445,409400000.0,413500000.0,251300000.0,4933700000.0,69500000.0,3133800000.0,1799900000.0,0.0,0.0,3079700000.0,1442600000.0,492800000.0
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USD,United States,87153115136,34.90445315073366,0.03625472389523707,16.52248,78270595072,78500115136.0,0.82668,0.56869,0.74472,0.07502,0.1762338225277107,9.524409,2249000000.0,2846000000.0,5460000000.0,21439000000.0,10962000000.0,12316000000.0,9123000000.0,0.0,0.0,11113000000.0,2309000000.0,7702000000.0
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USD,United States,232800208,,,,17368054,17368208.0,0.0,0.0,-0.20438999,-0.14526,,0.8305785,-56900000.0,-56900000.0,-48740000.0,286371000.0,215434000.0,6098000.0,280273000.0,0.0,0.0,280273000.0,2000.0,212500000.0
ABR,Arbor Realty Trust,Real Estate,REIT - Mortgage,USD,United States,2744589312,40.097048867391486,0.024939491265484122,8.225989,14972563456,14888475312.0,0.92279,0.50257,0.12829,0.023610001,0.06335789993126904,1.1106874,371311000.0,,367927000.0,15902689000.0,895298000.0,12662188000.0,3104785000.0,633684000.0,135716000.0,11983128000.0,12269784000.0,3240501000.0
ABSI,Absci Corporation,Healthcare,Biotechnology,USD,United States,336437344,,,,240706288,240706344.0,0.0,0.0,-0.43523,-0.19493,,1.713204,-90534000.0,-105847000.0,-106492000.0,236344000.0,113479000.0,39928000.0,196416000.0,0.0,0.0,201965000.0,17748000.0,106740000.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,USD,United States,192355450880,33.53489684771743,0.03198088982519722,37.687077,201220292608,201276450880.0,0.55172,0.12918,0.14031,0.05723,0.4862884339351817,5.1320057,6002000000.0,6437000000.0,5162000000.0,73354000000.0,8155000000.0,35950000000.0,37174000000.0,0.0,230000000.0,51736000000.0,16846000000.0,9155000000.0
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USD,United States,417560576,,,,285290176,285289576.0,-2.55582,0.0,-0.56988996,-0.27062,,3.497191,-78467000.0,-74745000.0,-75469000.0,158641000.0,134180000.0,39304000.0,119337000.0,0.0,0.0,119337000.0,1909000.0,119283000.0
ABVC,"ABVC Biopharma, Inc.",Healthcare,Biotechnology,USD,United States,10609047,,,,13149703,13408519.0,0.42071,0.0,-1.63763,-0.43347,,0.7218124,-9387889.0,-9513367.0,-12268660.0,16591507.0,568590.0,7529911.0,9099855.0,0.0,-38259.0,10753859.0,3406321.0,-2869542.0
AC,"Associated Capital Group, Inc.",Financial Services,Asset Management,USD,United States,742737344,,,21.635221,365657760,358523344.0,-0.3568,2.38416,0.03963,-0.00963,,0.83041644,-1603000.0,-1603000.0,34773000.0,926382000.0,384214000.0,30713000.0,895669000.0,0.0,0.0,895669000.0,0.0,404498000.0
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,USD,United States,3821321216,25.874976555142503,0.0928351205426183,13.328232,4214218496,4176221216.0,0.1925,0.1288,0.13192001,0.030550001,0.23524058006188944,1.6518074,161400000.0,387700000.0,286700000.0,3489600000.0,155300000.0,1174300000.0,2315300000.0,0.0,0.0,2818700000.0,510200000.0,546400000.0
ACAB,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,USD,United States,115918424,,,62.352943,114970184,114970271.0,0.0,0.0,,-0.00542,,,-1499291.0,-1005023.0,4285941.0,37519909.0,948153.0,16008864.0,21511045.0,0.0,0.0,21511045.0,0.0,-4455076.0
ACABW,Atlantic Coastal Acquisition Co,Financial Services,Shell Companies,USD,United States,0,,,,,-948153.0,0.0,0.0,,-0.00542,,6.7,-1499291.0,-1005023.0,4285941.0,37519909.0,948153.0,16008864.0,21511045.0,0.0,0.0,21511045.0,0.0,-4455076.0
ACACU,Acri Capital Acquisition Corpor,Financial Services,Shell Companies,USD,United States,0,,,,60823836,1083084.0,0.0,0.0,,,,,-859738.0,-859738.0,960581.0,36046990.0,52840.0,4644825.0,31402165.0,0.0,0.0,31402165.0,1135924.0,-1947216.0
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USD,United States,4979579392,,,,4690804736,4681762392.0,0.3879,-0.2355,-0.37775,-0.15626,,13.755102,-154386000.0,-154386000.0,-148808000.0,632540000.0,345920000.0,270366000.0,362174000.0,0.0,0.0,362174000.0,48103000.0,289567000.0
ACAX,Alset Capital Acquisition Corp.,Financial Services,Shell Companies,USD,United States,47442212,,,103.0,46835184,46835224.0,0.0,0.0,,,,,-1133344.0,-1133344.0,878774.0,22078910.0,812293.0,3748432.0,18330478.0,0.0,0.0,18330478.0,205305.0,371474.0
ACAXU,Alset Capital Acquisition Corp.,Financial Services,Shell Companies,USD,United States,0,,,,47986692,-606988.0,0.0,0.0,,,,,-1133344.0,-1133344.0,878774.0,22078910.0,812293.0,3748432.0,18330478.0,0.0,0.0,18330478.0,205305.0,371474.0
ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,CAD,Canada,227635200,,,,269009760,260081995.21284,0.022920001,0.0,-1.0267,-0.09165,,0.39649418,-61504564.90692,-51770002.53696,-71724022.074,612382469.15724,96467874.32148,201532903.46412,376976521.27764,0.0,33873044.41548,402857032.77948,95041625.11884,270009000.0
ACBA,Ace Global Business Acquisition,Financial Services,Shell Companies,USD,Hong Kong,40762420,,,,45297944,43219823.0,0.0,0.0,,,,,-1331295.0,-1331295.0,22137.0,22946269.0,58653.0,6474825.0,16471444.0,0.0,0.0,16471444.0,2516056.0,-4503326.0
ACBAW,Ace Global Business Acquisition Limited Warrant,Financial Services,Shell Companies,USD,Hong Kong,0,,,,,2457403.0,0.0,0.0,,,,,-1331295.0,-1331295.0,22137.0,22946269.0,58653.0,6474825.0,16471444.0,0.0,0.0,16471444.0,2516056.0,-4503326.0
ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USD,United States,849226752,,,,870805632,870805752.0,0.44919,-0.37241,-0.29988,-0.09809,,1.9367177,-146406000.0,-146406000.0,-141539000.0,854320000.0,292187000.0,416676000.0,437644000.0,0.0,0.0,720806000.0,313766000.0,227258000.0
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USD,United States,607524480,10.833159372869803,0.09249794591636293,11.034483,1589224192,1589224480.0,0.31113002,0.03059,0.06966,0.03344,-0.45216856351891727,0.7285974,146700000.0,147000000.0,56400000.0,2683700000.0,73700000.0,1845700000.0,838000000.0,0.0,0.0,1730200000.0,1055400000.0,316100000.0
ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,USD,United States,1275111936,6.986969429139449,0.12040102552471824,11.428572,2517610752,2460111936.0,0.36859,0.03717,0.20432,0.090500005,0.41161756531406335,1.0200179,352100000.0,296200000.0,35500000.0,3222100000.0,25100000.0,1917800000.0,1250100000.0,0.0,54200000.0,2184400000.0,1155900000.0,-25000000.0
ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USD,United States,835312512,10.43818320411023,0.08594357829948077,20.102041,1113266304,1117407512.0,0.30039,0.03736,0.22663,0.08134,1.3779576141075862,4.2310996,107050000.0,96034000.0,43021000.0,871408000.0,230388000.0,672634000.0,198774000.0,0.0,0.0,682778000.0,512483000.0,190433000.0
ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USD,United States,16148488,,,,46866396,46866378.0,0.0,0.0,,-0.65272003,,,-14546901.0,-14546901.0,-33755756.0,14648276.0,1553416.0,47894494.0,-33246218.0,0.0,0.0,-33246218.0,32271306.0,-36676337.0
ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USD,United States,104458096,,,,-57001856,-57001904.0,0.0,0.0,-0.5584,-0.28205,,0.5358725,-132577000.0,-142994000.0,-143044000.0,233257000.0,183257000.0,38580000.0,194677000.0,0.0,0.0,194677000.0,21797000.0,166115000.0
ACGL,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,USD,Bermuda,28663341056,4.833977086892582,0.44684205723910025,9.910968,29500997632,7195341056.0,0.37015,0.23319,0.21974,0.04064,0.10810601526512222,1.9773457,1488493000.0,3215181000.0,2968688000.0,55227000000.0,25026000000.0,39986000000.0,15239000000.0,830000000.0,2000000.0,17965000000.0,2726000000.0,15241000000.0
ACGLN,Arch Capital Group Ltd. - Depos,Financial Services,Insurance - Diversified,USD,Bermuda,0,-14.422640885781794,-0.14976621017328115,4.278405,8450097664,-21468000000.0,0.37015,0.23319,0.21974,0.04064,0.10810601526512222,0.5166688,1488493000.0,3215181000.0,2968688000.0,55227000000.0,25026000000.0,39986000000.0,15239000000.0,830000000.0,2000000.0,17965000000.0,2726000000.0,15241000000.0
ACGLO,Arch Capital Group Ltd. - Depos,Financial Services,Insurance - Diversified,USD,Bermuda,13708423168,-5.213042205774565,-0.4143500437731087,5.0117245,9726359552,-7759576832.0,0.37015,0.23319,0.21974,0.04064,0.10810601526512222,0.60522586,1488493000.0,3215181000.0,2968688000.0,55227000000.0,25026000000.0,39986000000.0,15239000000.0,830000000.0,2000000.0,17965000000.0,2726000000.0,15241000000.0
ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USD,United States,7308157440,17.6670998494631,0.0072390049235217845,,8840121344,8813780440.0,0.42581,-0.0063899998,-0.00435,0.05943,0.253817021649017,2.6635969,498881000.0,63803000.0,-18272000.0,5346218000.0,99591000.0,2536074000.0,2712562000.0,0.0,97582000.0,4062516000.0,1507632000.0,-161415000.0
ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,USD,United Kingdom,34257636,,,,-98529320,-98529364.0,0.0,0.0,-0.42174,-0.22156,,0.22322614,-78575000.0,-78575000.0,-75091000.0,175338000.0,140138000.0,21853000.0,153485000.0,0.0,0.0,153485000.0,7351000.0,137311000.0
ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USD,United States,1663302272,,,,1220600704,1220602272.0,0.0,0.0,-0.96387,-0.46806,,4.3304625,-440800000.0,-440800000.0,-444200000.0,539600000.0,461400000.0,175100000.0,364500000.0,0.0,0.0,364500000.0,18700000.0,358700000.0
ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,USD,Canada,82123304,,,,78482152,78532304.0,0.0,0.0,-13.998819,-0.87718004,,20.314137,-33726000.0,-33322000.0,-35571000.0,24337000.0,19869000.0,20299000.0,4038000.0,0.0,0.0,20233000.0,16278000.0,17815000.0
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USD,United States,13268575232,15.847774537121907,0.062272548063232964,11.405941,27645669376,27663875232.0,0.28369,0.0174,0.37992,0.05054,-0.584560570071259,5.9859705,1745600000.0,1722700000.0,1101300000.0,26322500000.0,266100000.0,24105900000.0,2216600000.0,0.0,0.0,10027400000.0,14661400000.0,-1501900000.0
ACIC,American Coastal Insurance Corp,Financial Services,Insurance - Property & Casualty,USD,United States,429724320,,,,418913152,314351320.0,-0.53466,-0.00234,-3.61884,-0.10743,,1.3349514,-15482000.0,-205043000.0,-5221000.0,1149690000.0,264918000.0,1029041000.0,120649000.0,0.0,0.0,269253000.0,149545000.0,120649000.0
ACIU,AC Immune SA,Healthcare,Biotechnology,CHF,Switzerland,422870016,,,,285048416,331640293.939,0.0,0.0,-0.43227002,-0.24667,,2.8860419,-80929402.36999999,-80103400.03699999,-80291662.67699999,168243261.519,94045425.1705,20381784.062999997,147861477.456,0.0,0.0,147861477.456,2815703.1095,74469000.0
ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USD,United States,3186671104,21.075206194126785,0.04866776646242761,37.576923,4159002624,4137379104.0,0.49838,0.06242,0.073979996,0.04177,-4.752124044180119,2.6312954,196315000.0,201357000.0,89121000.0,3254828000.0,139520000.0,2043793000.0,1211035000.0,0.0,0.0,2198256000.0,1090228000.0,281080000.0
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USD,United States,3858638080,14.17897032540748,0.0762360225971667,16.85694,3473982208,3443136080.0,0.42611998,0.21374,0.32799998,0.144,0.16882252381926302,4.8209977,242834000.0,262491000.0,232199000.0,1201694000.0,461010000.0,400723000.0,800971000.0,0.0,0.0,800971000.0,45508000.0,753863000.0
ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,USD,United States,2692503040,,,,2193381888,2361506040.0,1.0,-2.7458801,-0.51562,-0.19033001,,9.482443,-144883000.0,-123332000.0,-129197000.0,614218000.0,439716000.0,348090000.0,266128000.0,0.0,0.0,266128000.0,108719000.0,318307000.0
ACM,AECOM,Industrials,Engineering & Construction,USD,United States,12064768000,16.443972016315396,0.02862442315077842,109.53087,13850235904,13021817000.0,0.06576,0.00385,0.06308,0.04458,,5.4623814,791890000.0,372742000.0,55332000.0,11233398000.0,1260206000.0,9021066000.0,2212332000.0,0.0,0.0,4429587000.0,2217255000.0,
ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USD,United States,1027908224,10.769700162674594,0.10863504893005524,15.703702,959957184,959957224.0,0.50598997,0.14408,0.1062,0.04356,0.07710359318936127,1.4096916,89135000.0,104285000.0,71458000.0,1410248000.0,304596000.0,532118000.0,729050000.0,0.0,149080000.0,768803000.0,87565000.0,633943000.0
ACN,Accenture plc,Technology,Information Technology Services,USD,Ireland,211058049024,23.66308197022983,0.04431684158640051,31.139685,207801466880,207801519024.0,0.32502997,0.106520005,0.27437,0.12973,0.6544582844722071,7.9117208,8781676000.0,9209107000.0,6880051000.0,51531354000.0,7145438000.0,24045917000.0,26676751000.0,0.0,808686000.0,26719060000.0,3080222000.0,5775338000.0
ACNB,ACNB Corporation,Financial Services,Banks - Regional,USD,United States,379784160,7.760654045516229,0.12885511892876567,10.07675,471915072,348849160.0,0.0,0.33363998,0.15487,0.014989999,0.07819972408898043,1.4880495,44951000.0,,37790000.0,2388522000.0,64041000.0,2132884000.0,319185000.0,0.0,0.0,,33106000.0,255638000.0
ACNT,Ascent Industries Co.,Basic Materials,Steel,USD,United States,101052488,,,,186816816,186816488.0,0.048839998,-0.10699,-0.17617,-0.036310002,,1.0487599,-16916000.0,-28320000.0,-37640000.0,215191000.0,730000.0,118889000.0,96302000.0,0.0,0.0,146845000.0,86494000.0,98177000.0
ACON,"Aclarion, Inc.",Healthcare,Health Information Services,USD,United States,1802220,,,,2247748,2368306.0,0.12512,0.0,-4.36216,-1.0391101,,,-5077195.0,-4758013.0,-4974933.0,1543219.0,161450.0,2371199.0,-827980.0,0.0,0.0,-827980.0,727536.0,-2006251.0
ACOR,"Acorda Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USD,United States,18010450,,0.06039685617059111,5.555556,171631424,171631450.0,0.8237,-0.14355,-0.2368,-0.0332,-0.05299184622856121,0.30548182,-20427000.0,10366000.0,-15949000.0,366344000.0,32468000.0,307387000.0,58957000.0,0.0,0.0,240000000.0,186089000.0,27434000.0
ACP,Aberdeen Income Credit Strategi,Financial Services,Asset Management,USD,United Kingdom,351742496,,-0.13076527441887573,,484367616,456734070.0,1.0,-0.34649,-0.03353,0.03767,-0.0815191962732276,0.9596247,-59724956.0,,-59724956.0,529019098.0,8426.0,162694608.0,366324490.0,0.0,0.0,471324490.0,105000000.0,366324490.0
ACR,ACRES Commercial Realty Corp.,Real Estate,REIT - Mortgage,USD,United States,79562776,168.05573090503623,0.005950407014474699,,1804694912,1808615776.0,0.45422,0.18628,0.028469998,0.0054400004,0.012260126110013043,0.1726764,10762000.0,,13262000.0,2261496000.0,64440000.0,1813269000.0,437703000.0,10000.0,10524000.0,2176532000.0,1782959000.0,448227000.0
ACRE,Ares Commercial Real Estate Cor,Real Estate,REIT - Mortgage,USD,United States,544654464,70.30556446442145,0.014223625222524966,167.66667,2126398976,2127235464.0,1.0,0.082270004,0.00477,0.0013600001,0.022151435373771153,0.7974002,30257000.0,,3456000.0,2363176000.0,61017000.0,1680218000.0,682958000.0,0.0,0.0,1672049000.0,1643598000.0,682958000.0
ACRO,Acropolis Infrastructure Acquis,Financial Services,Shell Companies,USD,United States,173739600,,0.05230662743359598,55.0,176983008,176983003.0,0.0,0.0,,-0.00694,0.1673498918191189,,-2399616.0,9257384.0,6603148.0,83933622.0,56597.0,20676494.0,63257128.0,0.0,0.0,63257128.0,3300000.0,-7939590.0
